English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
proper,in the strictest sense,adjective,proper,مناسب,"Disneyland is not in Los Angeles proper, but rather in a suburb of L.A.","دیزنی لند در لس آنجلس مناسب نیست، بلکه در حومه ای از L.A.",,
proper,with formal manners,adjective,proper,مناسب,Miss Baumann is a very proper young lady.,خانم Baumann بانوی بسیار مناسب است.,,
proper,complete,adjective,proper,مناسب,I'm a proper idiot. I tried to brush my hair with my toothbrush this morning.,من عجیب و غریب هستم من سعی کردم موهایم را با مسواک من صبح بخیر.,,
proper,grammar,adjective,proper,مناسب,"""Cuba"" is a proper noun.","""کوبا"" یک اسم مناسب است.",,
proper,really,adverb,proper,مناسب,I was proper grateful when my mate spotted me a pint.,"من زمانی که همسر من یک پینت را دیدم، سپاسگزار بودم.",,
marketing,business,noun,marketing,بازار یابی,We need specialist advice on the appropriate marketing of these games.,ما نیاز به مشاوره تخصصی در مورد بازاریابی مناسب این بازی ها داریم.,,
approve,to officially recognize,transitive verb,approve,تایید,"The board approved the directive, and we had to comply.",هیئت مدیره این دستورالعمل را تصویب کرد و مجبور شدیم پیروی کنیم.,,
approve,to agree with,transitive verb,approve,تایید,"I hadn't approved my son's decision, but now I see he made the right one.","من تصمیم پسرم را تصویب نکردم، اما اکنون می بینم که او درست ساخته شده است.",,
approve,"to agree; used with ""of""",intransitive verb,approve,تایید,50% of the voters say they approve of the way the President is handling the campaign.,50٪ از رای دهندگان می گویند که آنها از نحوه رسیدگی به رئیس جمهور تصویب می کنند.,,
approve,to indicate that something is acceptable,intransitive verb,approve,تایید,"I don't personally approve, but go for it if it makes you happy.","من شخصا تایید نمی کنم، اما اگر آن را خوشحال می کند، برای آن بروید.",,
bomb,explosive device,noun,bomb,بمب,The pilot dropped bombs on the enemy arms factory.,خلبان بمب ها را بر روی کارخانه اسلحه دشمن کاهش داد.,,
bomb,nuclear device,noun,bomb,بمب,The devastation of Hiroshima was a real wake-up call for the world about the implications of the bomb.,ویرانی هیروشیما یک بیدار شدن واقعی برای جهان در مورد پیامدهای بمب بود.,,
bomb,total failure,noun,bomb,بمب,"The party was a bomb. We had food for 300 people, but only 30 showed up.","حزب یک بمب بود. ما 300 نفر غذا داشتیم، اما تنها 30 نفر نشان دادند.",,
bomb,success,noun,bomb,بمب,The team's victory parade was a bomb and the streets were full of fans.,رژه پیروزی تیم یک بمب بود و خیابان ها پر از طرفداران بود.,,
bomb,to barrage,transitive verb,bomb,بمب,The Germans bombed London during World War II.,آلمانی ها در طی جنگ جهانی دوم لندن را بمباران کردند.,,
bomb,to fail,transitive verb,bomb,بمب,Sheila bombed her English test because she didn't study.,شیلا آزمون انگلیسی خود را بمباران کرد زیرا او مطالعه نکرد.,,
slip,to lose balance,intransitive verb,slip,لیز خوردن,Today I almost slipped when I was running to catch the bus.,امروز من تقریبا زمانی که من در حال اجرا بودم به اتوبوس رفتم.,,
slip,to slide out,intransitive verb,slip,لیز خوردن,"The knife slipped, and I cut myself.",چاقو تضعیف شد و من خودم را قطع کردم.,,
slip,to make a mistake,intransitive verb,slip,لیز خوردن,"I'm sorry, I slipped. I told your secret to my sister.","متاسفم، من تسلیم شدم من به رازت به خواهرم گفتم",,
slip,"to move quickly or unobtrusively, quickly",intransitive verb,slip,لیز خوردن,Mike slipped into bed as soon as he got home.,مایک به زودی به خانه برد.,,
slip,"to move quickly or unobtrusively, unobtrusively",intransitive verb,slip,لیز خوردن,I slipped into the room to pick up my cell phone because the baby was sleeping.,من به اتاق کشیده شدم تا تلفن همراهم را انتخاب کنم زیرا کودک خواب بود.,,
slip,to decline,intransitive verb,slip,لیز خوردن,Sales slipped in March due to the economic crisis.,فروش در ماه مارس به دلیل بحران اقتصادی کاهش یافته است.,,
slip,automobile,intransitive verb,slip,لیز خوردن,The car slipped on the ice and went off the road.,ماشین بر روی یخ کاهش یافت و از جاده رفت.,,
slip,to move smoothly,transitive verb,slip,لیز خوردن,"When we were watching a movie, I didn't dare to slip my arm around her.","هنگامی که ما یک فیلم را تماشا کردیم، جرأت نکردم دستم را در اطراف او بکشم.",,
slip,to open or shut,transitive verb,slip,لیز خوردن,I slipped the window open and took a breath of fresh air.,من پنجره را باز کردم و نفس هوا را گرفتم.,,
slip,medicine,transitive verb,slip,لیز خوردن,My grandfather slipped a disk in his back when he fell from a chair.,"پدربزرگ من هنگامی که از صندلی سقوط کرد، یک دیسک را پشت سر گذاشت.",,
slip,"knitting, a stitch",transitive verb,slip,لیز خوردن,My grandmother taught me how to slip a stitch.,مادربزرگ من به من آموخت که چگونه یک دوختن را بچرخانم.,,
slip,"knitting, the marker",transitive verb,slip,لیز خوردن,Slip the marker to the right needle and continue working.,نشانگر را به سمت سوزن راست بکشید و ادامه دهید.,,
slip,slide,noun,slip,لیز خوردن,Everybody in the room laughed at my slip and I blushed when I got up.,"همه در اتاق به لغزش من خندید و وقتی بلند شدم، سرخ کردم.",,
slip,decline,noun,slip,لیز خوردن,The slip in prices lured foreign investors.,لغزش در قیمت ها سرمایه گذاران خارجی را جذب کرد.,,
slip,mistake,noun,slip,لیز خوردن,Just a single slip could ruin everything for us.,فقط یک لغزش تنها می تواند همه چیز را برای ما خراب کند.,,
slip,paper,noun,slip,لیز خوردن,Margarita wrote her name and address on a slip of paper.,مارگاریتا نام او را نوشت و به لغزش کاغذ اشاره کرد.,,
slip,clothing,noun,slip,لیز خوردن,I'm not wearing a slip under my dress today. It's too hot.,من امروز زیر لباس پوشیدم. این خیلی گرم است,,
slip,bedding,noun,slip,لیز خوردن,You have to wash the slips as often as your sheets.,شما باید اسلایدها را اغلب به عنوان ورق های خود بشویید.,,
slip,person,noun,slip,لیز خوردن,That slip of a boy is too young to drink coffee.,این لغزش یک پسر خیلی جوان است برای نوشیدن قهوه.,,
slip,botany,noun,slip,لیز خوردن,The slip will grow into a new plant in six months.,لغزش در شش ماه به یک گیاه جدید تبدیل خواهد شد.,,
slip,pottery,noun,slip,لیز خوردن,I used slip to join the handle to the jar.,من از لغزش برای پیوستن به دسته به شیشه استفاده کردم.,,
